Title,ArtistName,Rank,Weeks,isNew
all about that bass,meghan trainor,1,11,0
shake it off,taylor swift,2,5,0
bang bang,jessie j  ariana grande & nicki minaj,3,8,0
anaconda,nicki minaj,4,7,0
black widow,iggy azalea featuring rita ora,5,12,0
stay with me,sam smith,6,24,0
break free,ariana grande featuring zedd,7,12,0
boom clap,charli xcx,8,16,0
chandelier,sia,9,20,0
don't tell 'em,jeremih featuring yg,10,13,0
rather be,clean bandit featuring jess glynne,11,15,0
rude,magic!,12,22,0
habits (stay high),tove lo,13,17,0
maps,maroon 5,14,14,0
bailando,enrique iglesias featuring descemer bueno & gente de zona,15,21,0
hot boy,bobby shmurda,16,8,0
am i wrong,nico & vinz,17,23,0
booty,jennifer lopez featuring iggy azalea or pitbull,18,1,1
cool kids,echosmith,19,11,0
fancy,iggy azalea featuring charli xcx,20,29,0
burnin' it down,jason aldean,21,9,0
don't,ed sheeran,22,15,0
problem,ariana grande featuring iggy azalea,23,21,0
all of me,john legend,24,50,0
a sky full of stars,coldplay,25,21,0
this is how we do,katy perry,26,8,0
new flame,chris brown featuring usher & rick ross,27,10,0
dirt,florida georgia line,28,11,0
happy,pharrell williams,29,38,0
lifestyle,rich gang featuring young thug & rich homie quan,30,10,0
fireball,pitbull featuring john ryan,31,7,0
latch,disclosure featuring sam smith,32,27,0
trumpets,jason derulo,33,17,0
2 on,tinashe featuring schoolboy q,34,20,0
0 to 100 / the catch up,drake,35,9,0
blame,calvin harris featuring john newman,36,2,0
amnesia,5 seconds of summer,37,12,0
no flex zone,rae sremmurd,38,8,0
shower,becky g,39,16,0
american kids,kenny chesney,40,14,0
no mediocre,t.i. featuring iggy azalea,41,14,0
leave the night on,sam hunt,42,13,0
dark horse,katy perry featuring juicy j,43,53,0
roller coaster,luke bryan,44,10,0
studio,schoolboy q featuring bj the chicago kid,45,16,0
loyal,chris brown featuring lil wayne & french montana or too $hort or tyga,46,36,0
counting stars,onerepublic,47,66,0
where it's at (yep  yep),dustin lynch,48,20,0
wiggle,jason derulo featuring snoop dogg,49,21,0
hope you get lonely tonight,cole swindell,50,14,0
animals,maroon 5,51,5,0
waves,mr. probz,52,5,0
centuries,fall out boy,53,2,0
riptide,vance joy,54,13,0
neon light,blake shelton,55,5,0
bartender,lady antebellum,56,18,0
ready set roll,chase rice,57,17,0
stolen dance,milky chance,58,9,0
somethin' bad,miranda lambert duet with carrie underwood,59,18,0
hideaway,kiesza,60,10,0
love runs out,onerepublic,61,20,0
believe me,lil wayne featuring drake,62,17,0
gonna know we were here,jason aldean,63,1,1
about the money,t.i. featuring young thug,64,7,0
drunk on a plane,dierks bentley,65,19,0
sunshine & whiskey,frankie ballard,66,11,0
v. 3005,childish gambino,67,16,0
girl in a country song,maddie & tae,68,7,0
really don't care,demi lovato featuring cher lloyd,69,16,0
take me to church,hozier,70,6,0
meanwhile back at mama's,tim mcgraw featuring faith hill,71,17,0
small town throwdown,brantley gilbert featuring justin moore & thomas rhett,72,15,0
no love,august alsina,73,1,1
touchin  lovin,trey songz featuring nicki minaj,74,3,0
bo$$,fifth harmony,75,11,0
fight night,migos,76,11,0
secrets,mary lambert,77,3,0
day drinking,little big town,78,9,0
angel in blue jeans,train,79,2,0
jealous,nick jonas,80,2,0
hold you down,dj khaled featuring chris brown  august alsina  future & jeremih,81,3,0
somewhere in my car,keith urban,82,4,0
sun daze,florida georgia line,83,1,1
i'm not the only one,sam smith,84,3,0
walk thru,rich homie quan featuring problem,85,5,0
24 hours,teeflii featuring 2 chainz,86,4,0
***flawless,beyonce featuring nicki minaj or chimamanda ngozi adichie,87,4,0
superheroes,the script,88,1,1
pills n potions,nicki minaj,89,18,0
hookah,tyga featuring young thug,90,6,0
try,colbie caillat,91,5,0
look at you,big & rich,92,3,0
main chick,kid ink featuring chris brown,93,19,0
later on,the swon brothers,94,6,0
dear future husband,meghan trainor,95,2,0
dust,eli young band,96,9,0
bend ova,lil jon featuring tyga,97,2,0
x,chris brown,98,1,1
you and your friends,wiz khalifa featuring snoop dogg & ty dolla $ign,99,1,1
foreign,trey songz,100,10,0
the hills,the weeknd,1,20,0
hotline bling,drake,2,10,0
what do you mean?,justin bieber,3,6,0
watch me,silento,4,33,0
679,fetty wap featuring remy boyz,5,15,0
can't feel my face,the weeknd,6,18,0
locked away,r. city featuring adam levine,7,12,0
stitches,shawn mendes,8,20,0
wildest dreams,taylor swift,9,7,0
good for you,selena gomez featuring a$ap rocky,10,16,0
lean on,major lazer & dj snake featuring mo,11,27,0
photograph,ed sheeran,12,22,0
cheerleader,omi,13,25,0
downtown,macklemore & ryan lewis featuring eric nally  melle mel  kool moe dee & grandmaster caz,14,7,0
hit the quan,ilovememphis,15,8,0
jumpman,drake & future,16,3,0
trap queen,fetty wap,17,38,0
my way,fetty wap featuring monty,18,14,0
renegades,x ambassadors,19,26,0
ex's & oh's,elle king,20,14,0
drag me down,one direction,21,10,0
see you again,wiz khalifa featuring charlie puth,22,31,0
on my mind,ellie goulding,23,3,0
shut up and dance,walk the moon,24,48,0
uptown funk!,mark ronson featuring bruno mars,25,48,0
fight song,rachel platten,26,26,0
where are u now,skrillex & diplo with justin bieber,27,32,0
like i'm gonna lose you,meghan trainor featuring john legend,28,14,0
here,alessia cara,29,10,0
where ya at,future featuring drake,30,12,0
love myself,hailee steinfeld,31,9,0
cool for the summer,demi lovato,32,15,0
how deep is your love,calvin harris & disciples,33,12,0
strip it down,luke bryan,34,10,0
all eyes on you,meek mill featuring chris brown & nicki minaj,35,16,0
marvin gaye,charlie puth featuring meghan trainor,36,17,0
thinking out loud,ed sheeran,37,53,0
same old love,selena gomez,38,4,0
again,fetty wap,39,9,0
flex (ooh ooh ooh),rich homie quan,40,25,0
back to back,drake,41,10,0
want to want me,jason derulo,42,31,0
uma thurman,fall out boy,43,27,0
levels,nick jonas,44,7,0
sugar,maroon 5,45,39,0
bad blood,taylor swift featuring kendrick lamar,46,24,0
earned it (fifty shades of grey),the weeknd,47,42,0
lose my mind,brett eldredge,48,18,0
planez,jeremih featuring j. cole,49,20,0
worth it,fifth harmony featuring kid ink,50,34,0
antidote,travis scott,51,5,0
big rings,drake & future,52,3,0
white iverson,post malone,53,5,0
break up with him,old dominion,54,14,0
diamonds dancing,drake & future,55,3,0
burning house,cam,56,13,0
save it for a rainy day,kenny chesney,57,12,0
el perdon (forgiveness),nicky jam & enrique iglesias,58,29,0
john cougar  john deere  john 3:16,keith urban,59,18,0
i'm comin' over,chris young,60,15,0
anything goes,florida georgia line,61,13,0
comfortable,k camp,62,10,0
house party,sam hunt,63,19,0
liquor,chris brown,64,6,0
right hand,drake,65,4,0
no role modelz,j. cole,66,8,0
rgf island,fetty wap,67,3,0
