Date,Title,ArtistName,Rank,Weeks,isNew
2019-11-02,lose you to love me,selena gomez,1,2,0
2019-11-02,someone you loved,lewis capaldi,2,25,0
2019-11-02,circles,post malone,3,9,0
2019-11-02,senorita,shawn mendes & camila cabello,4,19,0
2019-11-02,truth hurts,lizzo,5,26,0
2019-11-02,good as hell,lizzo,6,10,0
2019-11-02,follow god,kanye west,7,1,1
2019-11-02,no guidance,chris brown featuring drake,8,21,0
2019-11-02,panini,lil nas x,9,19,0
2019-11-02,bad guy,billie eilish,10,31,0
2019-11-02,memories,maroon 5,11,6,0
2019-11-02,10 000 hours,dan + shay & justin bieber,12,4,0
2019-11-02,ran$om,lil tecca,13,22,0
2019-11-02,highest in the room,travis scott,14,4,0
2019-11-02,beautiful people,ed sheeran featuring khalid,15,18,0
2019-11-02,trampoline,shaed,16,22,0
2019-11-02,closed on sunday,kanye west,17,1,1
2019-11-02,bandit,juice wrld & youngboy never broke again,18,4,0
2019-11-02,selah,kanye west,19,1,1
2019-11-02,i don't care,ed sheeran & justin bieber,20,25,0
2019-11-02,old town road,lil nas x featuring billy ray cyrus,21,35,0
2019-11-02,only human,jonas brothers,22,20,0
2019-11-02,on god,kanye west,23,1,1
2019-11-02,goodbyes,post malone featuring young thug,24,17,0
2019-11-02,talk,khalid,25,38,0
2019-11-02,sucker,jonas brothers,26,35,0
2019-11-02,look at her now.,selena gomez,27,1,1
2019-11-02,one man band,old dominion,28,10,0
2019-11-02,on chill,wale featuring jeremih,29,12,0
2019-11-02,how do you sleep?,sam smith,30,15,0
2019-11-02,ballin',mustard featuring roddy ricch,31,15,0
2019-11-02,money in the grave,drake featuring rick ross,32,20,0
2019-11-02,everything we need,kanye west featuring ty dolla $ign & ant clemons,33,1,1
2019-11-02,playing games,summer walker,34,9,0
2019-11-02,hot,young thug featuring gunna,35,11,0
2019-11-02,god is,kanye west,36,1,1
2019-11-02,use this gospel,kanye west featuring clipse & kenny g,37,1,1
2019-11-02,baby,lil baby & dababy,38,15,0
2019-11-02,suge,dababy,39,31,0
2019-11-02,even though i'm leaving,luke combs,40,9,0
2019-11-02,dance monkey,tones and i,41,4,0
2019-11-02,dancing with a stranger,sam smith & normani,42,42,0
2019-11-02,hot girl summer,megan thee stallion  nicki minaj & ty dolla $ign,43,12,0
2019-11-02,thriller,michael jackson,44,19,0
2019-11-02,every hour,kanye west featuring sunday service choir,45,1,1
2019-11-02,heat,chris brown featuring gunna,46,9,0
2019-11-02,one thing right,marshmello & kane brown,47,19,0
2019-11-02,lover,taylor swift,48,11,0
2019-11-02,time,nf,49,15,0
2019-11-02,graveyard,halsey,50,7,0
2019-11-02,water,kanye west featuring ant clemons,51,1,1
2019-11-02,you need to calm down,taylor swift,52,20,0
2019-11-02,my type,saweetie,53,18,0
2019-11-02,every little thing,russell dickerson,54,9,0
2019-11-02,camelot,nle choppa,55,7,0
2019-11-02,prayed for you,matt stell,56,13,0
2019-11-02,hot girl bummer,blackbear,57,7,0
2019-11-02,liar,camila cabello,58,8,0
2019-11-02,take what you want,post malone featuring ozzy osbourne & travis scott,59,8,0
2019-11-02,hands on,kanye west featuring fred hammond,60,1,1
2019-11-02,223's,ynw melly & 9lokknine,61,8,0
2019-11-02,good vibes,chris janson,62,9,0
2019-11-02,jesus is lord,kanye west,63,1,1
2019-11-02,lonely child,youngboy never broke again,64,3,0
2019-11-02,baby sitter,dababy featuring offset,65,12,0
2019-11-02,what happens in a small town,brantley gilbert + lindsay ell,66,12,0
2019-11-02,vibez,dababy,67,5,0
2019-11-02,hate me,ellie goulding & juice wrld,68,12,0
2019-11-02,the bones,maren morris,69,6,0
2019-11-02,make no sense,youngboy never broke again,70,3,0
2019-11-02,bop,dababy,71,5,0
2019-11-02,we were,keith urban,72,9,0
2019-11-02,enemies,post malone featuring dababy,73,8,0
2019-11-02,love you too late,cole swindell,74,13,0
2019-11-02,start wit me,roddy ricch & gunna,75,1,1
2019-11-02,self control,youngboy never broke again,76,8,0
