Title,ArtistName,Rank,Weeks,isNew
e.t.,katy perry featuring kanye west,1,8,0
s&m,rihanna featuring britney spears,2,12,0
just can't get enough,the black eyed peas,3,7,0
f**k you! (forget you),cee lo green,4,32,0
born this way,lady gaga,5,8,0
look at me now,chris brown featuring lil wayne & busta rhymes,6,9,0
down on me,jeremih featuring 50 cent,7,21,0
on the floor,jennifer lopez featuring pitbull,8,6,0
f**kin' perfect,p!nk,9,14,0
rolling in the deep,adele,10,13,0
blow,ke$ha,11,11,0
grenade,bruno mars,12,27,0
till the world ends,britney spears featuring nicki minaj & ke$ha,13,5,0
firework,katy perry,14,24,0
moment 4 life,nicki minaj featuring drake,15,16,0
tonight (i'm lovin' you),enrique iglesias featuring ludacris & dj frank e,16,19,0
no sleep,wiz khalifa,17,2,0
hey baby (drop it to the floor),pitbull featuring t-pain,18,27,0
written in the stars,tinie tempah featuring eric turner,19,7,0
i need a doctor,dr. dre featuring eminem & skylar grey,20,9,0
more,usher,21,17,0
john,lil wayne featuring rick ross,22,2,0
coming home,diddy - dirty money featuring skylar grey,23,19,0
the show goes on,lupe fiasco,24,14,0
jar of hearts,christina perri,25,27,0
all of the lights,kanye west,26,14,0
the lazy song,bruno mars,27,6,0
roll up,wiz khalifa,28,8,0
what the hell,avril lavigne,29,12,0
pretty girl rock,keri hilson,30,19,0
colder weather,zac brown band,31,11,0
6 foot 7 foot,lil wayne featuring cory gunz,32,16,0
who says,selena gomez & the scene,33,3,0
are you gonna kiss me or not,thompson square,34,16,0
just the way you are,bruno mars,35,37,0
yeah 3x,chris brown,36,23,0
best love song,t-pain featuring chris brown,37,2,0
raise your glass,p!nk,38,26,0
backseat,new boyz featuring the cataracs & dev,39,7,0
don't you wanna stay,jason aldean with kelly clarkson,40,22,0
stereo love,edward maya & vika jigulina,41,26,0
for the first time,the script,42,14,0
bow chicka wow wow,mike posner featuring lil wayne,43,6,0
dynamite,taio cruz,44,44,0
a little bit stronger,sara evans,45,14,0
no hands,waka flocka flame featuring roscoe dash & wale,46,30,0
rocketeer,far*east movement featuring ryan tedder,47,18,0
marry me,train,48,20,0
price tag,jessie j featuring b.o.b,49,9,0
i won't let go,rascal flatts,50,10,0
let me down easy,billy currington,51,19,0
what do you want,jerrod niemann,52,15,0
this,darius rucker,53,14,0
heart like mine,miranda lambert,54,8,0
did it on'em,nicki minaj,55,5,0
you lie,the band perry,56,5,0
when i'm gone,wiz khalifa,57,1,1
the cave,mumford & sons,58,9,0
without you,keith urban,59,4,0
give me everything,pitbull featuring ne-yo  afrojack & nayer,60,1,1
live a little,kenny chesney,61,4,0
if heaven wasn't so far away,justin moore,62,2,0
you be killin em,fabolous,63,14,0
never say never,justin bieber featuring jaden smith,64,16,0
bleed red,ronnie dunn,65,8,0
friday,rebecca black,66,3,0
mean,taylor swift,67,3,0
love faces,trey songz,68,10,0
the story,sara ramirez,69,1,1
