Title,ArtistName
rockstar,post malone featuring 21 savage
havana,camila cabello featuring young thug
bodak yellow (money moves),cardi b
too good at goodbyes,sam smith
thunder,imagine dragons
1-800-273-8255,logic featuring alessia cara & khalid
feel it still,portugal. the man
perfect,ed sheeran
what lovers do,maroon 5 featuring sza
mi gente,j balvin & willy william featuring beyonce
sorry not sorry,demi lovato
gucci gang,lil pump
no limit,g-eazy featuring a$ap rocky & cardi b
i get the bag,gucci mane featuring migos
bank account,21 savage
unforgettable,french montana featuring swae lee
what about us,p!nk
despacito,luis fonsi & daddy yankee featuring justin bieber
attention,charlie puth
bad at love,halsey
new rules,dua lipa
rake it up,yo gotti featuring nicki minaj
motorsport,migos, nicki minaj & cardi b
believer,imagine dragons
young dumb & broke,khalid
shape of you,ed sheeran
call it what you want,taylor swift
praying,kesha
i fall apart,post malone
...ready for it?,taylor swift
the way life goes,lil uzi vert featuring nicki minaj
strip that down,liam payne featuring quavo
there's nothing holdin' me back,shawn mendes
slow hands,niall horan
ghostface killers,21 savage, offset & metro boomin featuring travis scott
that's what i like,bruno mars
look what you made me do,taylor swift
when it rains it pours,luke combs
what ifs,kane brown featuring lauren alaina
congratulations,post malone featuring quavo
do re mi,blackbear
something just like this,the chainsmokers & coldplay
the weekend,sza
how long,charlie puth
xo tour llif3,lil uzi vert
humble.,kendrick lamar
pills and automobiles,chris brown featuring yo gotti, a boogie wit da hoodie & kodak black
wild thoughts,dj khaled featuring rihanna & bryson tiller
body like a back road,sam hunt
ric flair drip,offset & metro boomin
crew,goldlink featuring brent faiyaz & shy glizzy
greatest love story,lanco
unforgettable,thomas rhett
silence,marshmello featuring khalid
wolves,selena gomez x marshmello
roll in peace,kodak black featuring xxxtentacion
love so soft,kelly clarkson
i'll name the dogs,blake shelton
plain jane,a$ap ferg featuring nicki minaj
every little thing,carly pearce
let you down,nf
meant to be,bebe rexha & florida georgia line
light it up,luke bryan
rap saved me,21 savage, offset & metro boomin featuring quavo
lemon,n*e*r*d & rihanna
the race,tay-k
like i loved you,brett young
let me go,hailee steinfeld & alesso featuring florida georgia line & watt
sky walker,miguel featuring travis scott
losing sleep,chris young
fix a drink,chris janson
good old days,macklemore featuring kesha
my choppa hate n****s,21 savage & metro boomin
yours,russell dickerson
i could use a love song,maren morris
round here buzz,eric church
jocelyn flores,xxxtentacion
questions,chris brown
rubbin off the paint,ybn nahmir
dusk till dawn,zayn featuring sia
candy paint,post malone
pray,sam smith featuring logic
f**k love,xxxtentacion featuring trippie redd
lights down low,max featuring gnash
