Artist,Track,Year,Month,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Followers,Target
mastodon,deep sea creature,2006,02,0.269,0.993,5.0,-3.219,1.0,0.171,6.53e-06,0.134,0.195,0.218,87.795,506662,0
i hate sally,martha served,2007,06,0.192,0.987,1.0,-5.382,1.0,0.111,1.06e-05,0.681,0.818,0.202,103.886,431,0
brigada victor jara,parto em terras distantes,1998,07,0.397,0.359,4.0,-13.607,0.0,0.0315,0.0697,0.000742,0.0566,0.412,173.824,1865,0
atreyu,you eclipsed by me ,2004,06,0.375,0.96,8.0,-4.498,1.0,0.0883,0.00186,0.138,0.383,0.61,157.67,518457,0
linkin park,crawling ,2000,10,0.58,0.702,4.0,-5.565,1.0,0.0337,0.0466,3.2e-06,0.536,0.299,105.076,125075,0
back door slam,heavy on my mind ,2018,06,0.229,0.804,3.0,-3.598,0.0,0.0442,0.0353,1.84e-05,0.106,0.577,185.763,2539,0
dave hollister,calm da seas,2008,08,0.589,0.554,11.0,-5.228,1.0,0.0275,0.322,0.0,0.196,0.165,118.03,13753810,0
casa bulga,afraid of change ,2008,09,0.751,0.922,0.0,-7.695,1.0,0.0441,0.000102,0.704,0.0399,0.399,125.006,3483,0
bob marley & the wailers,rainbow country ,2000,01,0.776,0.594,11.0,-7.676,0.0,0.0563,0.345,0.000395,0.087,0.692,148.924,242377,0
tanto metro & devonte,strange things,2018,05,0.769,0.855,6.0,-5.368,0.0,0.188,0.291,0.0,0.185,0.802,92.471,4,0
hot tuna,parchman farm,2019,09,0.403,0.416,1.0,-10.964,0.0,0.0313,0.113,0.701,0.34,0.585,138.469,7324733,0
daddy yankee,a lo clasico,2007,06,0.853,0.84,4.0,-3.63,0.0,0.116,0.0476,0.0,0.142,0.816,91.024,26342,0
william orbit,cavalleria rusticana,1995,01,0.459,0.156,5.0,-18.99,1.0,0.0708,0.958,0.912,0.176,0.382,117.725,37845,0
radiohead,15 step,2007,12,0.6,0.853,1.0,-7.584,1.0,0.0423,0.0489,0.346,0.0934,0.847,94.457,14009151,0
bongzilla,champagne & reefer,2005,09,0.28,0.819,4.0,-4.095,1.0,0.0391,0.00154,0.828,0.112,0.734,97.085,23493,0
