Artist,Track,Year,Month,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Target
i hate sally,martha served,2007,06,0.192,0.987,1.0,-5.382,1.0,0.111,1.06e-05,0.681,0.818,0.202,103.886,0
brigada victor jara,parto em terras distantes,1998,07,0.397,0.359,4.0,-13.607,0.0,0.0315,0.0697,0.000742,0.0566,0.412,173.824,0
atreyu,you eclipsed by me ,2004,06,0.375,0.96,8.0,-4.498,1.0,0.0883,0.00186,0.138,0.383,0.61,157.67,0
linkin park,crawling ,2000,10,0.58,0.702,4.0,-5.565,1.0,0.0337,0.0466,3.2e-06,0.536,0.299,105.076,0
back door slam,heavy on my mind ,2018,06,0.229,0.804,3.0,-3.598,0.0,0.0442,0.0353,1.84e-05,0.106,0.577,185.763,0
dave hollister,calm da seas,2008,08,0.589,0.554,11.0,-5.228,1.0,0.0275,0.322,0.0,0.196,0.165,118.03,0
casa bulga,afraid of change ,2008,09,0.751,0.922,0.0,-7.695,1.0,0.0441,0.000102,0.704,0.0399,0.399,125.006,0
bob marley & the wailers,rainbow country ,2000,01,0.776,0.594,11.0,-7.676,0.0,0.0563,0.345,0.000395,0.087,0.692,148.924,0
tanto metro & devonte,strange things,2018,05,0.769,0.855,6.0,-5.368,0.0,0.188,0.291,0.0,0.185,0.802,92.471,0
hot tuna,parchman farm,2019,09,0.403,0.416,1.0,-10.964,0.0,0.0313,0.113,0.701,0.34,0.585,138.469,0
daddy yankee,a lo clasico,2007,06,0.853,0.84,4.0,-3.63,0.0,0.116,0.0476,0.0,0.142,0.816,91.024,0
william orbit,cavalleria rusticana,1995,01,0.459,0.156,5.0,-18.99,1.0,0.0708,0.958,0.912,0.176,0.382,117.725,0
radiohead,15 step,2007,12,0.6,0.853,1.0,-7.584,1.0,0.0423,0.0489,0.346,0.0934,0.847,94.457,0
bongzilla,champagne & reefer,2005,09,0.28,0.819,4.0,-4.095,1.0,0.0391,0.00154,0.828,0.112,0.734,97.085,0
van halen,from afar ,1998,03,0.299,0.467,4.0,-8.628,0.0,0.0353,0.00703,2.57e-05,0.0883,0.303,175.687,0
tim wilson,uncle b.s. - 1963,1999,01,0.558,0.815,2.0,-10.491,1.0,0.911,0.823,0.0,0.882,0.609,80.167,0
the chap,volumatic spacer device,2003,03,0.904,0.368,9.0,-10.659,1.0,0.138,0.723,0.314,0.087,0.49,123.01,0
britney spears,3,2009,11,0.697,0.709,5.0,-1.917,0.0,0.0455,0.0452,0.0,0.138,0.787,134.91,0
snow patrol,spitting games,2004,01,0.498,0.89,7.0,-3.935,1.0,0.0292,0.000683,0.0476,0.562,0.518,145.168,0
rise against,drones,2006,01,0.524,0.995,8.0,-3.717,1.0,0.054,0.000111,4.91e-06,0.0561,0.427,104.683,0
bob dylan,trying to get to heaven,1997,09,0.481,0.479,3.0,-13.366,1.0,0.0325,0.476,0.00105,0.271,0.552,95.274,0
maximilian hecker,birch,2016,04,0.241,0.179,5.0,-10.38,0.0,0.0336,0.954,0.0314,0.113,0.0393,77.203,0
albert collins,same old thing,1993,01,0.712,0.591,0.0,-11.609,1.0,0.0394,0.12,0.00135,0.0454,0.737,94.485,0
salt the wound,from my hands,2009,09,0.262,0.937,2.0,-5.33,1.0,0.244,2.22e-05,0.199,0.0741,0.228,89.718,0
eminem,the way i am,2000,05,0.81,0.871,4.0,-2.672,0.0,0.241,0.13,0.0,0.313,0.299,87.328,0
shakira,que vuelvas,1998,09,0.688,0.917,2.0,-7.449,1.0,0.0314,0.0185,0.00241,0.0712,0.788,123.873,0
ten madison,cup horn,2006,07,0.721,0.855,10.0,-9.002,0.0,0.0538,0.105,0.854,0.111,0.664,95.006,0
sonora carruseles,vitamina,2015,07,0.675,0.785,5.0,-8.232,1.0,0.055,0.391,0.111,0.106,0.745,108.31,0
audio adrenaline,some kind of zombie ,1997,01,0.587,0.939,2.0,-4.759,1.0,0.0459,0.0025,0.00614,0.155,0.31,108.112,0
ann lee,so deep,1999,09,0.607,0.928,7.0,-5.702,1.0,0.0287,0.000804,0.000105,0.358,0.637,131.96,0
life long tragedy,collecting dust,2008,02,0.218,0.759,7.0,-6.175,1.0,0.0558,0.000146,0.00736,0.252,0.214,121.309,0
tim exile,oh scat mix up,2006,05,0.649,0.878,1.0,-3.936,1.0,0.271,0.00415,0.0068,0.849,0.837,141.13,0
bill engvall,t-ball and indian guides ,1998,10,0.542,0.834,1.0,-10.31,1.0,0.952,0.733,0.0,0.959,0.292,79.438,0
david arkenstone,big bounce,2009,01,0.754,0.422,6.0,-13.382,0.0,0.032,0.044,0.689,0.0431,0.721,108.008,0
the almost,summer summer,2009,01,0.435,0.83,4.0,-5.305,0.0,0.0407,0.00022,0.0,0.153,0.211,136.175,0
kenny rogers,reuben james,1993,01,0.502,0.735,4.0,-12.342,1.0,0.155,0.0939,0.0,0.266,0.891,203.162,0
winifred phillips,sporable,2009,10,0.429,0.3,0.0,-13.723,1.0,0.042,0.847,0.336,0.182,0.144,130.139,0
zombina & the skeletones,the waiting,2006,12,0.245,0.836,10.0,-5.264,1.0,0.0625,6.6e-06,0.576,0.526,0.219,93.03,0
mxpx,grey skies turn blue,2005,06,0.39,0.767,11.0,-3.27,1.0,0.0434,4.36e-05,0.00515,0.0506,0.712,175.434,0
zumpano,wraparound shades ,1995,01,0.483,0.713,4.0,-7.934,1.0,0.0513,0.0507,8.34e-05,0.0873,0.336,78.494,0
thrice,red sky,2005,01,0.518,0.771,2.0,-4.644,1.0,0.0464,0.00444,0.0232,0.106,0.155,141.466,0
flora purim,above the rainbow,1977,01,0.123,0.366,0.0,-15.104,1.0,0.0337,0.632,0.00499,0.385,0.133,174.702,0
redman,suicide,2007,01,0.515,0.755,1.0,-12.051,0.0,0.567,0.0752,1.8e-06,0.793,0.463,94.413,0
pearl jam,wishlist,1998,02,0.623,0.342,0.0,-8.694,1.0,0.038,0.0134,0.00412,0.106,0.101,115.032,0
steel pulse,role model,1997,08,0.816,0.601,1.0,-6.396,0.0,0.272,0.0184,0.0,0.0117,0.756,77.993,0
arrested development,since the last time,2007,10,0.7,0.669,1.0,-6.312,1.0,0.242,0.0395,4.02e-06,0.127,0.597,177.916,0
plies,goons lurkin ,2007,08,0.689,0.546,9.0,-4.966,1.0,0.0374,0.0115,0.0,0.182,0.168,110.972,0
milieu,blackwood moth,2007,04,0.708,0.286,10.0,-13.724,1.0,0.143,0.0112,0.87,0.138,0.736,174.06,0
out of the grey,dreaming of april,1995,01,0.32,0.482,7.0,-8.982,1.0,0.0354,0.509,1.37e-06,0.0763,0.289,175.139,0
snow patrol,new sensation,2009,09,0.68,0.373,4.0,-14.407,1.0,0.0314,0.528,0.000193,0.0911,0.311,115.029,0
dart,for the good times,2003,12,0.62,0.503,0.0,-9.75,1.0,0.0631,0.00557,0.00383,0.511,0.689,147.959,0
open hand,never alone,2003,01,0.243,0.8,9.0,-7.798,0.0,0.148,0.0596,0.117,0.377,0.177,86.235,0
sex pistols,chatterbox,2010,12,0.25,0.775,4.0,-5.715,0.0,0.0381,1.77e-06,0.899,0.366,0.38,146.752,0
the wreckers,damn that radio [live],2007,11,0.501,0.877,4.0,-5.15,1.0,0.105,0.17,0.0,0.801,0.721,151.915,0
inspiral carpets,keep the circle around,2003,10,0.26,0.976,10.0,-3.998,0.0,0.0808,0.0489,0.653,0.208,0.494,149.791,0
various production,wot u say,2008,09,0.502,0.786,7.0,-8.934,0.0,0.0365,0.0199,0.00123,0.0683,0.86,145.131,0
stephen warbeck,birth of the falls,2003,01,0.0962,0.262,9.0,-14.738,0.0,0.0369,0.825,0.963,0.359,0.0754,67.16,0
redman,i got a seecret,1998,01,0.633,0.82,1.0,-8.281,1.0,0.378,0.00686,0.0,0.124,0.21,113.282,0
tshala muana,banda yango,1996,01,0.656,0.934,7.0,-5.224,1.0,0.0431,0.406,0.319,0.0614,0.968,127.951,0
hatiras,the anthem,2006,05,0.581,0.827,11.0,-6.274,0.0,0.313,0.000499,0.385,0.329,0.413,132.011,0
jope ruonansuu,rant kanaria,2009,06,0.73,0.379,9.0,-9.169,0.0,0.0381,0.596,6.78e-05,0.0594,0.415,110.922,0
grizzly bear,little brother,2006,09,0.269,0.314,4.0,-13.629,0.0,0.0291,0.9,0.502,0.582,0.183,84.72,0
julie roberts,the chance,2004,01,0.539,0.306,1.0,-11.625,1.0,0.0455,0.624,0.0,0.104,0.113,140.208,0
snap!,do you see the light ,2009,11,0.65,0.629,6.0,-9.995,0.0,0.0287,0.0598,0.000119,0.112,0.536,131.994,0
kristine w.,save my soul ,2004,03,0.705,0.727,9.0,-7.55,0.0,0.067,0.00837,0.000802,0.136,0.558,130.052,0
paul avgerinos,song without end,2001,05,0.198,0.189,9.0,-17.325,1.0,0.0354,0.965,0.764,0.0917,0.032,67.933,0
pennywise,6th avenue nightmare,2005,08,0.344,0.954,9.0,-4.856,1.0,0.146,9.91e-05,1.79e-06,0.303,0.6,101.365,0
sandra mihanovich,cuatro estrofas,2017,11,0.274,0.379,9.0,-15.143,1.0,0.0651,0.94,0.00144,0.932,0.38,86.441,0
dixie chicks,give it up or let me go,1998,01,0.617,0.905,2.0,-4.329,1.0,0.0321,0.119,0.00117,0.77,0.769,103.862,0
jake hess,so many reasons,2004,01,0.523,0.237,6.0,-16.68,1.0,0.027,0.783,0.0345,0.704,0.466,92.858,0
the irish tenors,the croppy boy,2011,02,0.26,0.035,10.0,-21.021,1.0,0.0367,0.951,2.48e-06,0.109,0.0978,94.532,0
keep of kalessin,many are we,2006,04,0.374,0.997,3.0,-5.078,1.0,0.202,0.00087,0.805,0.255,0.036,109.883,0
eyes set to kill,play the part,2010,06,0.41,0.997,8.0,-3.862,1.0,0.152,0.00157,0.0,0.16,0.256,194.998,0
john van tongeren,salvation,2007,05,0.485,0.675,0.0,-8.837,1.0,0.0309,0.0533,0.95,0.157,0.912,150.181,0
ten madison,elementro,2004,06,0.663,0.954,8.0,-7.929,0.0,0.0493,0.00125,0.878,0.123,0.424,138.998,0
james horner,the stranger,2003,11,0.275,0.0441,2.0,-30.517,0.0,0.0333,0.838,0.624,0.113,0.0771,94.917,0
jason michael carroll,no good in goodbye,2007,02,0.391,0.796,2.0,-3.074,1.0,0.0338,0.352,0.0,0.278,0.334,175.37,0
