Title,ArtistName,Rank,Weeks,isNew,Target
deep sea creature,mastodon,0,0,1,0
je sais que la terre est plate,rapha\xc3\xabl,0,0,1,0
on efface,julie zenatti,0,0,1,0
martha served,i hate sally,0,0,1,0
parto em terras distantes,brigada victor jara,0,0,1,0
you eclipsed by me ,atreyu,0,0,1,0
shovel,mistress,0,0,1,0
what drives the weak,shadows fall,0,0,1,0
the dance of europe,dave brockie experience,0,0,1,0
crawling ,linkin park,0,0,1,0
up above my head,sister rosetta tharpe ,0,0,1,0
heavy on my mind ,back door slam,0,0,1,0
calm da seas,dave hollister,0,0,1,0
afraid of change ,casa bulga,0,0,1,0
rainbow country ,bob marley ,0,0,1,0
strange things,tanto metro ,0,0,1,0
parchman farm,hot tuna,0,0,1,0
a lo clasico,daddy yankee,0,0,1,0
"baint no game""""",masta ace incorporated,0,0,1,0
cavalleria rusticana,william orbit,0,0,1,0
amor a medias,ha-ash,0,0,1,0
15 step,radiohead,0,0,1,0
champagne & reefer,bongzilla,0,0,1,0
"bno more doggin""""",otis spann,0,0,1,0
from afar ,van halen,0,0,1,0
uncle b.s. - 1963,tim wilson,0,0,1,0
volumatic spacer device,the chap,0,0,1,0
vargbrodern talar,m\xc3\xa5negarm,0,0,1,0
3,britney spears,0,0,1,0
sleuthing,danny elfman,0,0,1,0
meet me in the city,junior kimbrough,0,0,1,0
so hell mit klause duo,flowin immo et les freaqz,0,0,1,0
llama y ver\xc3\xa1s,luis alberto spinetta,0,0,1,0
misty valley,frank chacksfield ,0,0,1,0
come alive,agnostic front,0,0,1,0
spitting games,snow patrol,0,0,1,0
drones,rise against,0,0,1,0
trying to get to heaven,bob dylan,0,0,1,0
birch,maximilian hecker,0,0,1,0
same old thing,albert collins,0,0,1,0
nerio compra una contestadora,los amigos invisibles,0,0,1,0
from my hands,salt the wound,0,0,1,0
isku pitk\xc3\xa4st\xc3\xa4 ilosta,korpiklaani,0,0,1,0
the way i am,eminem,0,0,1,0
que vuelvas,shakira,0,0,1,0
"brachels retribution""""",anne dudley,0,0,1,0
"ba goodnights sleep""""",the starting line,0,0,1,0
cup horn,ten madison,0,0,1,0
vitamina,sonora carruseles,0,0,1,0
the haunting,the misfits,0,0,1,0
"ball or nothin gal""""",jessie lee miller,0,0,1,0
some kind of zombie ,audio adrenaline,0,0,1,0
children of love,abijah,0,0,1,0
so deep,ann lee,0,0,1,0
collecting dust,life long tragedy,0,0,1,0
oh scat mix up,tim exile,0,0,1,0
t-ball and indian guides ,bill engvall,0,0,1,0
big bounce,david arkenstone,0,0,1,0
summer summer,the almost,0,0,1,0
reuben james,kenny rogers,0,0,1,0
sporable,winifred phillips,0,0,1,0
the waiting,zombina ,0,0,1,0
grey skies turn blue,mxpx,0,0,1,0
wraparound shades ,zumpano,0,0,1,0
"bthe earth isnt humming""""",thrice,0,0,1,0
year zero,30 seconds to mars,0,0,1,0
satisfaction,who made who,0,0,1,0
autofokus,k.i.z.,0,0,1,0
red sky,thrice,0,0,1,0
above the rainbow,flora purim,0,0,1,0
suicide,aceyalone,0,0,1,0
caribou lou,tech n9ne,0,0,1,0
el vino triste,los aut\xc3\xa9nticos decadentes,0,0,1,0
wishlist,pearl jam,0,0,1,0
role model,steel pulse,0,0,1,0
since the last time,arrested development,0,0,1,0
obvious ,"bjanes addiction""""",0,0,1,0
frei zu sein,in extremo,0,0,1,0
goons lurkin ,plies,0,0,1,0
blackwood moth,milieu,0,0,1,0
dreaming of april,out of the grey,0,0,1,0
new sensation,snow patrol,0,0,1,0
for the good times,dart,0,0,1,0
clever girls like clever boys much more than clever boys like clever girls,pelle carlberg,0,0,1,0
never alone,open hand,0,0,1,0
chatterbox,sex pistols,0,0,1,0
columbus stockade blues,charlie mccoy,0,0,1,0
damn that radio [live],the wreckers,0,0,1,0
keep the circle around,inspiral carpets,0,0,1,0
wot u say,various production,0,0,1,0
birth of the falls,stephen warbeck,0,0,1,0
i got a seecret,redman,0,0,1,0
banda yango,tshala muana,0,0,1,0
healing power,virgil moorefield,0,0,1,0
the anthem,hatiras,0,0,1,0
rant kanaria,jope ruonansuu,0,0,1,0
tomorrows girls ,uk subs,0,0,1,0
little brother,grizzly bear,0,0,1,0
the chance,julie roberts,0,0,1,0
my life is totally boring without you,cracker,0,0,1,0
so different blues,mance lipscom,0,0,1,0
bdipset ,juelz santana / freekey zeekey / monique garnett,0,0,1,0
do you see the light ,snap!,0,0,1,0
save my soul ,kristine w.,0,0,1,0
buenos aires ,le\xc3\xb3n gieco,0,0,1,0
song without end,paul avgerinos,0,0,1,0
6th avenue nightmare,pennywise,0,0,1,0
cuatro estrofas,sandra mihanovich,0,0,1,0
give it up or let me go,dixie chicks,0,0,1,0
le chat du caf\xc3\xa9 des artistes,charlotte gainsbourg,0,0,1,0
"bdont know how to be""""",god lives underwater,0,0,1,0
"bim back""""",eminem,0,0,1,0
merry-go-runaround,bob hope,0,0,1,0
4tx.31,s.u.p,0,0,1,0
loup garou,deville_ willy,0,0,1,0
so many reasons,jake hess,0,0,1,0
32 lines ,sophie b. hawkins,0,0,1,0
dragonfly,diesel boy,0,0,1,0
the croppy boy,the irish tenors,0,0,1,0
many are we,keep of kalessin,0,0,1,0
play the part,eyes set to kill,0,0,1,0
bin fates hands ,the red jumpsuit apparatus,0,0,1,0
salvation,chroma key,0,0,1,0
till there was you ,rachael starr,0,0,1,0
i love no one but you,don gibson,0,0,1,0
shame,anna abreu,0,0,1,0
what if i forget the champagne,stanley clarke,0,0,1,0
elementro,ten madison,0,0,1,0
the stranger,james horner,0,0,1,0
no good in goodbye,jason michael carroll,0,0,1,0
miesten t\xc3\xa4hden,rauni pekkala,0,0,1,0
song for paul,alex gopher,0,0,1,0
thrill me,simply red,0,0,1,0
girl tonite ,twista,0,0,1,0
from the gardner meditations: african tarantella,stefon harris,0,0,1,0
alma de metal,bobby pulido,0,0,1,0
la fruta bomba,fruko y sus tesos,0,0,1,0
only you,nana mouskouri,0,0,1,0
o.t. ,"bcamron""""",0,0,1,0
na primeira manh\xc3\xa3,alceu valen\xc3\xa7a,0,0,1,0
wildflower,bon jovi,0,0,1,0
heal ,the shamen,0,0,1,0
rock the house ,gorillaz,0,0,1,0
motivator,midwest product,0,0,1,0
iv,from autumn to ashes,0,0,1,0
own me,the frequency,0,0,1,0
someday ,britney spears,0,0,1,0
fall line,jack johnson and friends / matt costa,0,0,1,0
sista,city high,0,0,1,0
valerie,amy winehouse,0,0,1,0
november has come,gorillaz,0,0,1,0
given up ,linkin park,0,0,1,0
ja nun hons pris,bryan ferry,0,0,1,0
"bits good to know jesus""""",mississippi mass choir,0,0,1,0
things you do to me,martin sexton,0,0,1,0
tripping billies,dave matthews band,0,0,1,0
run a mile,the pineapple thief,0,0,1,0
all is one,atman,0,0,1,0
it could all get blown away,the jeff healey band,0,0,1,0
bob your head,run-dmc,0,0,1,0
make it up,anthony cruz,0,0,1,0
dope nose,weezer,0,0,1,0
trade it all pt2  ,fabolous,0,0,1,0
the pig,showbread,0,0,1,0
"bill be glad""""",elvin bishop,0,0,1,0
anyone who had a heart,cal tjader,0,0,1,0
nothing matters anymore,showbread,0,0,1,0
fortunate fool,jack johnson,0,0,1,0
high horse,workhorse,0,0,1,0
september song,the chico hamilton quintet with fred katz_ paul horn_ john pisano_ carson smith,0,0,1,0
walking to jerusalem,tracy byrd,0,0,1,0
intro,dj clue / p. diddy,0,0,1,0
bigbigkiss,helen love,0,0,1,0
"bshe dont belong to you""""",sue foley,0,0,1,0
q1.1 edit,basic channel,0,0,1,0
"bblowin in the wind""""",ben sidran,0,0,1,0
this is for my bitches,jim jones featuring oshy,0,0,1,0
tabernacle song,fake problems,0,0,1,0
dig up her bones,the misfits,0,0,1,0
collides with beauty,atb,0,0,1,0
