Title,ArtistName,Ranks,Weeks,isNew,Target
e.t.,katy perry ,1,8,0,1
s&m,rihanna ,2,12,0,1
just can't get enough,the black eyed peas,3,7,0,1
f**k you! ,cee lo green,4,32,0,1
born this way,lady gaga,5,8,0,1
look at me now,chris brown ,6,9,0,1
down on me,jeremih ,7,21,0,1
on the floor,jennifer lopez ,8,6,0,1
f**kin' perfect,p!nk,9,14,0,1
rolling in the deep,adele,10,13,0,1
blow,ke$ha,11,11,0,1
grenade,bruno mars,12,27,0,1
till the world ends,britney spears ,13,5,0,1
firework,katy perry,14,24,0,1
moment 4 life,nicki minaj ,15,16,0,1
tonight ,enrique iglesias ,16,19,0,1
no sleep,wiz khalifa,17,2,0,1
hey baby ,pitbull ,18,27,0,1
written in the stars,tinie tempah ,19,7,0,1
i need a doctor,dr. dre ,20,9,0,1
more,usher,21,17,0,1
john,lil wayne ,22,2,0,1
coming home,diddy - dirty money ,23,19,0,1
the show goes on,lupe fiasco,24,14,0,1
jar of hearts,christina perri,25,27,0,1
all of the lights,kanye west,26,14,0,1
the lazy song,bruno mars,27,6,0,1
roll up,wiz khalifa,28,8,0,1
what the hell,avril lavigne,29,12,0,1
pretty girl rock,keri hilson,30,19,0,1
colder weather,zac brown band,31,11,0,1
6 foot 7 foot,lil wayne ,32,16,0,1
who says,selena gomez ,33,3,0,1
are you gonna kiss me or not,thompson square,34,16,0,1
just the way you are,bruno mars,35,37,0,1
yeah 3x,chris brown,36,23,0,1
best love song,t-pain ,37,2,0,1
raise your glass,p!nk,38,26,0,1
backseat,new boyz ,39,7,0,1
don't you wanna stay,jason aldean with kelly clarkson,40,22,0,1
stereo love,edward maya ,41,26,0,1
for the first time,the script,42,14,0,1
bow chicka wow wow,mike posner ,43,6,0,1
dynamite,taio cruz,44,44,0,1
a little bit stronger,sara evans,45,14,0,1
no hands,waka flocka flame ,46,30,0,1
rocketeer,far*east movement ,47,18,0,1
marry me,train,48,20,0,1
price tag,jessie j ,49,9,0,1
i won't let go,rascal flatts,50,10,0,1
let me down easy,billy currington,51,19,0,1
what do you want,jerrod niemann,52,15,0,1
this,darius rucker,53,14,0,1
heart like mine,miranda lambert,54,8,0,1
did it on'em,nicki minaj,55,5,0,1
you lie,the band perry,56,5,0,1
when i'm gone,wiz khalifa,57,1,1,1
the cave,mumford ,58,9,0,1
without you,keith urban,59,4,0,1
give me everything,pitbull ,60,1,1,1
live a little,kenny chesney,61,4,0,1
if heaven wasn't so far away,justin moore,62,2,0,1
you be killin em,fabolous,63,14,0,1
never say never,justin bieber ,64,16,0,1
bleed red,ronnie dunn,65,8,0,1
friday,rebecca black,66,3,0,1
mean,taylor swift,67,3,0,1
love faces,trey songz,68,10,0,1
the story,sara ramirez,69,1,1,1
tomorrow,chris young,70,4,0,1
sure thing,miguel,71,4,0,1
little miss,sugarland,72,12,0,1
i wanna go,britney spears,73,1,1,1
where you at,jennifer hudson,74,4,0,1
hold it against me,britney spears,75,12,0,1
bring it back,travis porter,76,3,0,1
sing,my chemical romance,77,8,0,1
i can't love you back,easton corbin,78,4,0,1
loser like me,glee cast,79,3,0,1
country song,seether,80,3,0,1
boom,snoop dogg ,81,3,0,1
grove st. party,waka flocka flame ,82,3,0,1
beggin' on your knees,victorious cast ,83,1,1,1
fall for your type,jamie foxx ,84,17,0,1
boyfriend,big time rush,85,4,0,1
racks,yc ,86,1,1,1
georgia clay,josh kelley,87,2,0,1
party rock anthem,lmfao ,88,2,0,1
family man,craig campbell,89,2,0,1
