Title,ArtistName,Target
deep sea creature,mastodon,0
je sais que la terre est plate,rapha\xc3\xabl,0
on efface,julie zenatti,0
martha served,i hate sally,0
parto em terras distantes,brigada victor jara,0
you eclipsed by me ,atreyu,0
shovel,mistress,0
what drives the weak,shadows fall,0
the dance of europe,dave brockie experience,0
crawling ,linkin park,0
up above my head,sister rosetta tharpe & marie,0
heavy on my mind ,back door slam,0
calm da seas,dave hollister,0
afraid of change ,casa bulga,0
rainbow country ,bob marley & the wailers,0
strange things,tanto metro & devonte,0
parchman farm,hot tuna,0
a lo clasico,daddy yankee,0
baint no game"",masta ace incorporated,0
cavalleria rusticana,william orbit,0
amor a medias,ha-ash,0
15 step,radiohead,0
champagne & reefer,bongzilla,0
bno more doggin"",otis spann,0
from afar ,van halen,0
uncle b.s. - 1963,tim wilson,0
volumatic spacer device,the chap,0
vargbrodern talar,m\xc3\xa5negarm,0
3,britney spears,0
sleuthing,danny elfman,0
meet me in the city,junior kimbrough,0
so hell mit klause duo,flowin immo et les freaqz,0
llama y ver\xc3\xa1s,luis alberto spinetta,0
misty valley,frank chacksfield & his orchestra,0
come alive,agnostic front,0
spitting games,snow patrol,0
drones,rise against,0
trying to get to heaven,bob dylan,0
birch,maximilian hecker,0
same old thing,albert collins,0
nerio compra una contestadora,los amigos invisibles,0
from my hands,salt the wound,0
isku pitk\xc3\xa4st\xc3\xa4 ilosta,korpiklaani,0
the way i am,eminem,0
que vuelvas,shakira,0
brachels retribution"",anne dudley,0
ba goodnights sleep"",the starting line,0
cup horn,ten madison,0
vitamina,sonora carruseles,0
the haunting,the misfits,0
ball or nothin gal"",jessie lee miller,0
some kind of zombie ,audio adrenaline,0
children of love,abijah,0
so deep,ann lee,0
collecting dust,life long tragedy,0
oh scat mix up,tim exile,0
t-ball and indian guides ,bill engvall,0
big bounce,david arkenstone,0
summer summer,the almost,0
reuben james,kenny rogers,0
sporable,winifred phillips,0
the waiting,zombina & the skeletones,0
grey skies turn blue,mxpx,0
wraparound shades ,zumpano,0
bthe earth isnt humming"",thrice,0
year zero,30 seconds to mars,0
satisfaction,who made who,0
autofokus,k.i.z.,0
red sky,thrice,0
above the rainbow,flora purim,0
suicide,redman,0
caribou lou,tech n9ne,0
el vino triste,los aut\xc3\xa9nticos decadentes,0
wishlist,pearl jam,0
role model,steel pulse,0
since the last time,arrested development,0
obvious ,bjanes addiction"",0
frei zu sein,in extremo,0
goons lurkin ,plies,0
blackwood moth,milieu,0
dreaming of april,out of the grey,0
new sensation,snow patrol,0
for the good times,dart,0
clever girls like clever boys much more than clever boys like clever girls,pelle carlberg,0
never alone,open hand,0
chatterbox,sex pistols,0
columbus stockade blues,charlie mccoy,0
damn that radio [live],the wreckers,0
keep the circle around,inspiral carpets,0
wot u say,various production,0
birth of the falls,stephen warbeck,0
i got a seecret,redman,0
banda yango,tshala muana,0
healing power,virgil moorefield,0
the anthem,hatiras,0
rant kanaria,jope ruonansuu,0
tomorrows girls ,uk subs,0
little brother,grizzly bear,0
the chance,julie roberts,0
my life is totally boring without you,cracker,0
so different blues,mance lipscom,0
bdipset ,juelz santana / freekey zeekey / monique garnett,0
do you see the light ,snap!,0
save my soul ,kristine w.,0
buenos aires ,le\xc3\xb3n gieco,0
song without end,paul avgerinos,0
6th avenue nightmare,pennywise,0
cuatro estrofas,sandra mihanovich,0
give it up or let me go,dixie chicks,0
le chat du caf\xc3\xa9 des artistes,charlotte gainsbourg,0
bdont know how to be"",god lives underwater,0
bim back"",eminem,0
merry-go-runaround,bob hope,0
4tx.31,s.u.p,0
loup garou,deville_ willy,0
so many reasons,jake hess,0
32 lines ,sophie b. hawkins,0
dragonfly,diesel boy,0
the croppy boy,the irish tenors,0
many are we,keep of kalessin,0
play the part,eyes set to kill,0
bin fates hands ,the red jumpsuit apparatus,0
salvation,john van tongeren,0
till there was you ,rachael starr,0
i love no one but you,don gibson,0
shame,anna abreu,0
what if i forget the champagne,stanley clarke,0
elementro,ten madison,0
the stranger,james horner,0
no good in goodbye,jason michael carroll,0
miesten t\xc3\xa4hden,rauni pekkala,0
song for paul,alex gopher,0
thrill me,simply red,0
girl tonite ,twista,0
from the gardner meditations: african tarantella,stefon harris,0
alma de metal,bobby pulido,0
la fruta bomba,fruko y sus tesos,0
only you,ayo,0
o.t. ,bcamron"",0
na primeira manh\xc3\xa3,alceu valen\xc3\xa7a,0
wildflower,bon jovi,0
heal ,the shamen,0
rock the house ,gorillaz,0
motivator,midwest product,0
iv,from autumn to ashes,0
own me,the frequency,0
someday ,britney spears,0
fall line,jack johnson and friends / matt costa,0
sista,city high,0
valerie,amy winehouse,0
november has come,gorillaz,0
given up ,linkin park,0
ja nun hons pris,bryan ferry,0
