Title,ArtistName,Rank,Weeks,isNew,Target
deep sea creature,,0,0,1,0
je sais que la terre est plate,,0,0,1,0
on efface,,0,0,1,0
martha served,,0,0,1,0
parto em terras distantes,,0,0,1,0
you eclipsed by me ,,0,0,1,0
shovel,,0,0,1,0
what drives the weak,,0,0,1,0
the dance of europe,,0,0,1,0
crawling ,,0,0,1,0
up above my head,,0,0,1,0
heavy on my mind ,,0,0,1,0
calm da seas,,0,0,1,0
afraid of change ,,0,0,1,0
rainbow country ,,0,0,1,0
strange things,,0,0,1,0
parchman farm,,0,0,1,0
a lo clasico,,0,0,1,0
"baint no game""""",,0,0,1,0
cavalleria rusticana,,0,0,1,0
amor a medias,,0,0,1,0
15 step,,0,0,1,0
champagne & reefer,,0,0,1,0
"bno more doggin""""",,0,0,1,0
from afar ,,0,0,1,0
uncle b.s. - 1963,,0,0,1,0
volumatic spacer device,,0,0,1,0
vargbrodern talar,,0,0,1,0
3,,0,0,1,0
sleuthing,,0,0,1,0
meet me in the city,,0,0,1,0
so hell mit klause duo,,0,0,1,0
llama y ver\xc3\xa1s,,0,0,1,0
misty valley,,0,0,1,0
come alive,,0,0,1,0
spitting games,,0,0,1,0
drones,,0,0,1,0
trying to get to heaven,,0,0,1,0
birch,,0,0,1,0
same old thing,,0,0,1,0
nerio compra una contestadora,,0,0,1,0
from my hands,,0,0,1,0
isku pitk\xc3\xa4st\xc3\xa4 ilosta,,0,0,1,0
the way i am,,0,0,1,0
que vuelvas,,0,0,1,0
"brachels retribution""""",,0,0,1,0
"ba goodnights sleep""""",,0,0,1,0
cup horn,,0,0,1,0
vitamina,,0,0,1,0
the haunting,,0,0,1,0
"ball or nothin gal""""",,0,0,1,0
some kind of zombie ,,0,0,1,0
children of love,,0,0,1,0
so deep,,0,0,1,0
collecting dust,,0,0,1,0
oh scat mix up,,0,0,1,0
t-ball and indian guides ,,0,0,1,0
big bounce,,0,0,1,0
summer summer,,0,0,1,0
reuben james,,0,0,1,0
sporable,,0,0,1,0
the waiting,,0,0,1,0
grey skies turn blue,,0,0,1,0
wraparound shades ,,0,0,1,0
"bthe earth isnt humming""""",,0,0,1,0
year zero,,0,0,1,0
satisfaction,,0,0,1,0
autofokus,,0,0,1,0
red sky,,0,0,1,0
above the rainbow,,0,0,1,0
suicide,,0,0,1,0
caribou lou,,0,0,1,0
el vino triste,,0,0,1,0
wishlist,,0,0,1,0
role model,,0,0,1,0
since the last time,,0,0,1,0
obvious ,,0,0,1,0
frei zu sein,,0,0,1,0
goons lurkin ,,0,0,1,0
blackwood moth,,0,0,1,0
dreaming of april,,0,0,1,0
new sensation,,0,0,1,0
for the good times,,0,0,1,0
clever girls like clever boys much more than clever boys like clever girls,,0,0,1,0
never alone,,0,0,1,0
chatterbox,,0,0,1,0
columbus stockade blues,,0,0,1,0
damn that radio [live],,0,0,1,0
keep the circle around,,0,0,1,0
wot u say,,0,0,1,0
birth of the falls,,0,0,1,0
i got a seecret,,0,0,1,0
banda yango,,0,0,1,0
healing power,,0,0,1,0
the anthem,,0,0,1,0
rant kanaria,,0,0,1,0
tomorrows girls ,,0,0,1,0
little brother,,0,0,1,0
the chance,,0,0,1,0
my life is totally boring without you,,0,0,1,0
so different blues,,0,0,1,0
bdipset ,,0,0,1,0
do you see the light ,,0,0,1,0
save my soul ,,0,0,1,0
buenos aires ,,0,0,1,0
song without end,,0,0,1,0
6th avenue nightmare,,0,0,1,0
cuatro estrofas,,0,0,1,0
give it up or let me go,,0,0,1,0
le chat du caf\xc3\xa9 des artistes,,0,0,1,0
"bdont know how to be""""",,0,0,1,0
"bim back""""",,0,0,1,0
merry-go-runaround,,0,0,1,0
4tx.31,,0,0,1,0
loup garou,,0,0,1,0
so many reasons,,0,0,1,0
32 lines ,,0,0,1,0
dragonfly,,0,0,1,0
the croppy boy,,0,0,1,0
