Title,ArtistName,Target
uptown funk!,mark ronson ,1
blank space,taylor swift,1
take me to church,hozier,1
thinking out loud,ed sheeran,1
lips are movin,meghan trainor,1
all about that bass,meghan trainor,1
shake it off,taylor swift,1
i'm not the only one,sam smith,1
jealous,nick jonas,1
animals,maroon 5,1
love me harder,ariana grande & the weeknd,1
i don't f**k with you,big sean ,1
centuries,fall out boy,1
the heart wants what it wants,selena gomez,1
bang bang,jessie j,1
only,nicki minaj ,1
the hanging tree,james newton howard ,1
tuesday,i love makonnen ,1
stay with me,sam smith,1
habits ,tove lo,1
no type,rae sremmurd,1
waves,mr. probz,1
don't,ed sheeran,1
7/11,beyonce,1
hot boy,bobby shmurda,1
coco,o.t. genasis,1
rude,magic!,1
i don't mind,usher ,1
beg for it,iggy azalea ,1
don't tell 'em,jeremih ,1
black widow,iggy azalea ,1
blame,calvin harris ,1
time of our lives,pitbull & ne-yo,1
night changes,one direction,1
only one,kanye west ,1
riptide,vance joy,1
chandelier,sia,1
l.a.love ,fergie,1
heroes ,alesso ,1
trumpets,jason derulo,1
ghost,ella henderson,1
something in the water,carrie underwood,1
shotgun rider,tim mcgraw,1
rather be,clean bandit ,1
stolen dance,milky chance,1
sledgehammer,fifth harmony,1
try me,dej loaf,1
anaconda,nicki minaj,1
talladega,eric church,1
lifestyle,rich gang ,1
sun daze,florida georgia line,1
touchin  lovin,trey songz ,1
i lived,onerepublic,1
g.d.f.r.,flo rida ,1
steal my girl,one direction,1
i see you,luke bryan,1
perfect storm,brad paisley,1
i bet my life,imagine dragons,1
feeling myself,nicki minaj ,1
prayer in c,lillywood & robin schulz,1
she knows,ne-yo ,1
lonely tonight,blake shelton ,1
drinking class,lee brice,1
hold you down,dj khaled ,1
try,colbie caillat,1
just gettin' started,jason aldean,1
god made girls,raelynn,1
til it's gone,kenny chesney,1
often,the weeknd,1
dangerous,david guetta ,1
style,taylor swift,1
make me wanna,thomas rhett,1
lonely eyes,chris young,1
close your eyes,parmalee,1
mean to me,brett eldredge,1
body language,kid ink ,1
shut up and dance,walk the moon,1
stuck on a feeling,prince royce ,1
somewhere in my car,keith urban,1
something big,shawn mendes,1
***flawless,beyonce ,1
homegrown honey,darius rucker,1
like a cowboy,randy houser,1
dear future husband,meghan trainor,1
in your arms,nico & vinz,1
apparently,j. cole,1
