Artist,Track,Year,Month,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Followers,Popularity,Ranks,Weeks,isNew,Target
e.t.,katy perry,2012,03,0.62,0.869,1,-5.252,1,0.175,0.0181,0,0.369,0.76,151.684,14076052,87,1,8,0,1
s&m,rihanna,2010,11,0.764,0.673,1,-4.946,1,0.0437,0.0156,6.56e-05,0.195,0.8,127.941,34643188,90,2,12,0,1
just can't get enough,the black eyed peas,2010,01,0.483,0.648,0,-8.651,0,0.327,0.187,0,0.0812,0.242,93.939,3787023,83,3,7,0,1
f**k you!,cee lo green,2011,03,0.753,0.695,0,-7.896,1,0.0513,0.381,0,0.155,0.739,127.454,1373,21,4,32,0,1
born this way,lady gaga,2011,01,0.587,0.828,11,-5.108,1,0.161,0.00327,0,0.331,0.494,123.907,9500816,87,5,8,0,1
look at me now,chris brown,2011,03,0.767,0.677,11,-6.128,0,0.184,0.0339,5.51e-06,0.144,0.538,146.155,9765966,92,6,9,0,1
down on me,jeremih,2010,01,0.7,0.598,2,-7.783,1,0.114,0.0369,0,0.111,0.594,160.041,3776940,83,7,21,0,1
on the floor,jennifer lopez,2011,01,0.758,0.686,11,-6.346,1,0.0792,0.0848,0.00127,0.142,0.444,130.007,7135951,78,8,6,0,1
f**kin' perfect,p!nk,2010,11,0.57,0.646,7,-4.748,1,0.0331,0.0412,0,0.362,0.485,91.954,7283450,85,9,14,0,1
rolling in the deep,adele,2011,01,0.729,0.756,8,-5.119,1,0.0294,0.131,0,0.0527,0.522,104.945,18159690,85,10,13,0,1
blow,ke$ha,2011,03,0.765,0.612,7,-6.342,1,0.0382,1.51e-05,0.873,0.159,0.229,119.997,0,0,11,11,0,1
grenade,bruno mars,2010,10,0.706,0.558,2,-7.237,0,0.0593,0.146,0,0.118,0.227,110.443,22783246,89,12,27,0,1
till the world ends,britney spears,2011,03,0.693,0.705,8,-5.747,1,0.0665,0.0228,0,0.202,0.45,131.951,6619014,80,13,5,0,1
firework,katy perry,2012,03,0.638,0.826,8,-4.968,1,0.0479,0.139,0,0.0803,0.649,124.072,14076052,87,14,24,0,1
moment 4 life,nicki minaj,2010,01,0.68,0.882,11,-3.883,1,0.236,0.406,0,0.241,0.386,97.943,16399430,90,15,16,0,1
tonight,enrique iglesias,2010,01,0.674,0.87,5,-4.688,0,0.0452,0.0283,6.3e-06,0.145,0.26,125.943,8831745,79,16,19,0,1
no sleep,wiz khalifa,2011,03,0.653,0.711,9,-6.454,1,0.0623,0.109,0,0.443,0.769,160.048,8542102,86,17,2,0,1
hey baby,pitbull,2011,06,0.595,0.913,10,-3.428,0,0.0884,0.0435,0,0.259,0.762,128.021,7320165,84,18,27,0,1
