Artist,Track,Year,Month,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Followers,Popularity,Target
Lost - Live,artistname,2018,03,0.779,0.269,11,-13.536,0,0.0371,0.415,0.603,0.119,0.663,92.045,0,0,0
BULLET TO THE HEART,jackson wang,2019,09,0.789,0.452,1,-6.149,1,0.114,0.0728,0,0.0868,0.675,159.835,821745,73,0
Camelot,nle choppa,2019,09,0.787,0.713,7,-5.252,1,0.401,0.0849,0,0.717,0.762,175.041,529941,84,1
Dance Monkey,tones and i,2019,10,0.824,0.588,6,-6.4,0,0.0924,0.692,0.000104,0.149,0.513,98.027,231315,89,1
Prayed For You,matt stell,2019,10,0.6,0.698,9,-5.86,1,0.0355,0.0724,1.64e-06,0.113,0.57,140.032,11215,65,1
Start Wit Me (feat. Gunna),roddy ricch,2019,10,0.919,0.556,4,-6.049,0,0.164,0.0933,0,0.109,0.539,130.025,733173,84,1
Baby Shark,pinkfong,2017,07,0.825,0.84,7,-3.651,1,0.227,0.245,0,0.341,0.52,115.062,57632,71,1
Juicy,doja cat,2019,08,0.786,0.658,0,-2.61,1,0.0661,0.0856,0,0.0689,0.458,170.037,586953,82,0
Pisces,jinjer,2016,07,0.6,0.849,9,-5.788,0,0.0376,0.0174,0.00205,0.0745,0.257,140.002,195306,62,0
Best Shot,jimmie allen,2018,10,0.629,0.464,4,-8.72,1,0.0334,0.75,0,0.0853,0.523,156.051,42047,65,1
Act Up,city girls,2018,11,0.938,0.638,8,-4.713,1,0.189,0.0167,0,0.111,0.313,97.075,554639,77,1
Apocalypse,cigarettes after sex,2017,06,0.369,0.467,5,-9.018,1,0.0274,0.0194,0.46,0.109,0.174,94.473,1190974,77,0
The Sea of Tragic Beasts,fit for an autopsy,2019,10,0.233,0.931,9,-5.063,1,0.0866,1.08e-05,1.81e-06,0.117,0.152,134.987,69421,57,0
I Wish Grandpas Never Died,riley green,2019,09,0.445,0.492,6,-5.717,1,0.0294,0.036,0,0.122,0.24,148.013,75552,69,1
More Hearts Than Mine,ingrid andress,2019,04,0.413,0.428,0,-7.414,1,0.0296,0.111,0,0.114,0.391,79.985,12669,59,0
Love Talk - English Version,wayv,2019,11,0.751,0.719,6,-5.198,0,0.0373,0.142,0,0.148,0.437,98.01,301070,65,0
ROXANNE,arizona zervas,2019,10,0.621,0.601,6,-5.616,0,0.148,0.0522,0,0.46,0.457,116.735,91092,82,0
Noticed,lil mosey,2018,10,0.699,0.558,11,-7.622,1,0.0603,0.462,0,0.116,0.493,79.992,1159829,84,1
9 and Three Quarters (Run Away),tomorrow x together,2019,10,0.639,0.756,1,-4.42,1,0.0608,0.0055,0,0.13,0.532,128.937,886662,74,0
I Don't Love You,lindsay ell,2019,11,0.615,0.448,6,-5.093,1,0.0322,0.292,0,0.106,0.229,119.739,32112,58,0
WHO DO U LOVE?,monsta x,2019,06,0.782,0.637,10,-5.63,0,0.264,0.28,0,0.114,0.389,101.989,2033312,75,0
Worth It,yk osiris,2019,02,0.764,0.528,5,-4.082,0,0.0588,0.468,0,0.0811,0.422,123.936,465315,75,1
4 Letter Word,ant clemons,2019,10,0.877,0.435,4,-6.736,1,0.18,0.336,1.61e-06,0.068,0.692,94.979,2391,76,0
Moonlight,ali gatie,2018,08,0.804,0.479,11,-6.661,1,0.0321,0.494,0,0.0994,0.462,120.0,337571,82,1
I Hope,gabby barrett,2019,01,0.561,0.536,6,-6.227,1,0.0346,0.0951,0,0.114,0.378,150.014,28812,63,0
Envy Me,calboy,2019,05,0.74,0.488,1,-7.664,0,0.27,0.234,0,0.241,0.584,149.042,256025,73,1
Easy - Remix,danileigh,2019,05,0.799,0.301,7,-11.361,1,0.185,0.195,0,0.0816,0.511,100.026,224674,72,0
Soltera - Remix,lunay,2019,05,0.795,0.783,5,-4.271,1,0.0432,0.361,0,0.437,0.8,92.016,1001346,87,0
Crayola,9lokknine,2019,03,0.729,0.538,7,-9.63,1,0.152,0.0218,0,0.339,0.173,80.474,31279,78,0
Restroom Occupied,yella beezy,2019,07,0.713,0.684,6,-5.045,1,0.0557,0.0132,0,0.138,0.753,116.505,441205,69,1
broken,lovelytheband,2018,08,0.666,0.728,7,-5.808,1,0.0419,0.00175,4.26e-06,0.0429,0.51,122.996,182886,67,1
VALENTINO,24kgoldn,2019,01,0.745,0.718,9,-4.853,0,0.183,0.197,0,0.134,0.539,151.097,26798,75,0
