Artist,Track,Year,Month,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Label
lenny kravitz,american woman,1998,5,0.688,0.67,1,-7.872,1,0.0971,0.0304,0,0.0782,0.537,83.988,1
j.j. cale,midnight in memphis,1997,1,0.774,0.428,0,-14.134,1,0.0345,0.169,0.676,0.0794,0.866,111.328,0
n.e.r.d.,intro / time for some action,2008,1,0.631,0.676,6,-5.9,0,0.434,0.112,0.0003,0.254,0.594,113.025,0
darius rucker,this,2008,1,0.584,0.524,4,-6.001,1,0.0287,0.335,0,0.11,0.389,143.863,1
crystal waters,what i need,2001,1,0.789,0.843,2,-8.743,1,0.086,0.0221,0.000343,0.11,0.621,123.132,1
george lopez,only for the young,2009,12,0.432,0.984,9,-8.041,1,0.894,0.817,2.16E-05,0.867,0.0325,112.036,0
t.i.,top back,2006,3,0.597,0.678,2,-5.743,1,0.3,0.0103,0,0.381,0.659,160.074,1
epmd,crossover,1992,7,0.815,0.627,10,-10.438,0,0.275,0.0301,0.000144,0.148,0.644,101.437,1
dinosaur jr,green mind,1991,2,0.398,0.877,1,-10.762,0,0.0495,3.34E-05,0,0.354,0.558,134.242,0
koffee brown,after party,2001,3,0.802,0.552,5,-4.796,0,0.0503,0.0492,1.70E-06,0.0224,0.601,105.481,1
beyonce,naughty girl,2003,6,0.588,0.461,6,-8.686,0,0.161,0.237,1.54E-05,0.0913,0.659,200.053,1
snowgoons,planetary takeover,2009,5,0.481,0.939,1,-4.359,1,0.369,0.0287,0,0.17,0.293,93.837,0
spose,im awesome,2010,1,0.609,0.778,0,-5.492,1,0.366,0.149,1.21E-06,0.631,0.802,91.858,1
martina mcbride,heart trouble,2012,10,0.516,0.894,9,-6.571,1,0.0419,0.0416,0.000105,0.396,0.84,175.918,0
omarion featuring gucci mane,i get it in,2010,1,0.721,0.797,5,-4.549,0,0.135,0.00274,0,0.0841,0.674,154.086,1
the balustrade ensemble,fall away into darkness,2007,9,0.0647,0.253,11,-16.681,0,0.0387,0.492,0.673,0.207,0.0351,73.932,0
fever ray,when i grow up,2009,1,0.472,0.631,0,-9.66,1,0.0526,0.362,0.533,0.153,0.548,122.538,0
sub swara,constructing the absence,2008,6,0.655,0.687,7,-7.89,1,0.0445,0.0915,0.77,0.0865,0.363,152.016,0
janet jackson,i want you,2004,1,0.645,0.836,3,-5.558,1,0.0382,0.201,0.0207,0.156,0.681,105.741,1
blackstreet,joy,1994,1,0.661,0.493,8,-8.485,0,0.0326,0.217,0,0.0664,0.201,95.021,1
bt feat. jes,every other way,2010,7,0.698,0.649,6,-8.555,0,0.0872,0.00101,0.615,0.197,0.425,131.008,0
